,jobid,jobsposition,jobskills,usersposition,jobskills_no,common_skills_no,match_score,userskills,userid
94,3004,Cloud DevOps Specialist,"aws, jboss, linux, perl, python",Full Stack Developer,5,3,85.98253609468273,"tdd, ddd, ruby on rails, sql server, scrum, javascript, python, uml, wcf, nhibernate, html5, bootstrap, postgresql, css3, node.js, crystal reports, mongodb, visual basic, jquery mobile, phonegap, cordova, spring batch, gulp/grunt, svn, docker, web api, jira, jenkins, react.js, kanban, bower, oracle db, backbone.js, spring boot, my sql, tfs, visio, express.js, es2015, doctrine, heroku, confluence, protractor, erwin, entity framework, enterprise architecture, c#, sql server integration server, reporting services, bdd - behavior-driven development, pentaho data integration, nuget, linq, pandas, jquery ui, odi, django rest, ajax, linux, angular, php, java, jquery, git, aws",653066
95,3004,Cloud DevOps Specialist,"aws, jboss, linux, perl, python",DevOps Analyst,5,5,85.74746612188301,"azure, sql server, javascript, python, english, postgresql, windows, jboss, apache, tomcat, jenkins, iis, mac os, vmware, vb6, nginx, vba, office 365, perl, linux, relational database, php, java, git, aws, french",661455
96,3004,Cloud DevOps Specialist,"aws, jboss, linux, perl, python",Full Stack Developer,5,3,85.71236723914801,"azure, scrum, javascript, uml, html5, bootstrap, css3, finacial management, jboss, github, apache, maven, docker, jira, mac os, kanban, oracle db, rest api, my sql, open source, architecture, joomla, api, confluence, wildfly, titanium, mobile applications, team foundation server, Magento Developer, oriented object, moodle admin, moodle development, linux, organic seo, ci/cd automation, angular, php, java, git, aws, react native",666730
97,3004,Cloud DevOps Specialist,"aws, jboss, linux, perl, python",Full Stack Developer,5,3,85.69407455622118,"android, sql, javascript, python, laravel, spring, uml, postgresql, jsf, hibernate, ejb, jpa, pl/sql, mongodb, svn, junit, tomcat, jboss application server, iphone, ionic framework, oracle db, Big Data, hadoop, cluster, cassandra, perl, business analysis, obiee, cloudera, powerpoint, pig, hive, jupyter, linux, business development, apache spark, php, java, jquery, git",679992
79,3004,Cloud DevOps Specialist,"aws, jboss, linux, perl, python",Senior Full Stack Developer,5,3,88.02448969857343,"sql, sql server, scrum, javascript, python, uml, java patterns, c++, html, jsf, jsp, jpa, pl/sql, itil, oop, junit, j2ee, web services, agile, xsd, react.js, oracle db, soa, agile methodologies, agile project management, rest api, bpm, team leadership, mysql, database design, problem solving, e-commerce, continuous integration, leadership, mba, architecture, jstl, cvs, cloud computing, usability testing, nosql, object oriented analysis and design, continuos deployment, product management, oracle forms, oracle reports, enterprise architecture, algorithms, bluemix, jax-ws, people management, ibm integration bus, web applications, full stack, linux, filenet, ibm filenet, backend development, project management, angular, java, aws",677086
41,2946,Game Developer,"c, c++, game development, unity",GAME DEVELOPER,4,1,103.625,"unity, programming, game design, artificial intelligence, level design",656272
40,2946,Game Developer,"c, c++, game development, unity",Game developer,4,1,104.625,"unity, unity 2d, art direction, game design, blender 3d, c#, game art, level design, unity3d - basic, unity ios",644001
24,2946,Game Developer,"c, c++, game development, unity",Game Developer,4,2,109.02777777777779,"android, python, unity, c++, japanese, django, unreal engine, c#, java",638959
27,2946,Game Developer,"c, c++, game development, unity",Game Developer,4,2,108.75,"unity, c++, unreal engine, mobile development, game design, construct2, c#, java",636557
23,2946,Game Developer,"c, c++, game development, unity",Game Developer,4,3,109.375,"unity, c++, game development, c#",681521
21,2946,Game Developer,"c, c++, game development, unity",Game Developer,4,2,109.58333333333334,"android, ruby on rails, javascript, unity, c++, html5, ios, xamarin, unreal engine, windows phone development, c#, php",635915
11,2946,Game Developer,"c, c++, game development, unity",Game Developer,4,3,115.67500000000001,"sql server, scrum, unity, c++, html5, web development, node.js, mongodb, maya, software engineering, agile, react.js, game development, my sql, unreal engine, sqlite, unreal engine blue print, system analysis, mongoose, c#, project management, angular, git, .net, react native",673298
20,2946,Game Developer,"c, c++, game development, unity",Game Developer,4,2,110.13888888888889,"wordpress, c++, microsoft office, electronic, html5, unity 2d, after effects, game development, ilustrator, unreal engine, unreal engine blue print, blender 3d, animation, c#, game art, corel draw, photoshop, java",644525
32,2946,Game Developer,"c, c++, game development, unity",Game Developer,4,2,107.25,"javascript, unity, c++, c#, php",635600
12,2946,Game Developer,"c, c++, game development, unity",Game Developer,4,3,115.29605263157893,"sql, ruby on rails, unity, c++, unity 2d, digital art, flash, word, excel, visual studio, ux, game development, inkscape, game design, powerpoint, c#, latex, unity3d - basic, php",673203
78,2967,Mobile Developer (React Native),"gradle, javascript, jenkins, jest, react native, typescript, xcode",Mobile Consultant & Mobile Developer,7,4,88.82982077235584,"android, sql, scrum, javascript, html5, json, swift, ios, design patterns, xml, objective-c, rest api, continuous integration, api, cocoapods, xcode, test automation, gradle, c#, retrofit, test-driven development (tdd), travis ci, unit testing, watchos, eslint, architectural patterns, java, git, react native",636001
87,2967,Mobile Developer (React Native),"gradle, javascript, jenkins, jest, react native, typescript, xcode",Frontend Javascript Developer (Web & Mobile),7,1,87.32919965552087,"html5, react.js, vue.js, redux, angular, php, react native",663012
85,2967,Mobile Developer (React Native),"gradle, javascript, jenkins, jest, react native, typescript, xcode",React Native Developer,7,1,87.36573757329991,"c++, node.js, algorithms, redux, data structures, react native",673323
76,2967,Mobile Developer (React Native),"gradle, javascript, jenkins, jest, react native, typescript, xcode",Native Mobile Developer,7,1,89.73639494355552,"android, javascript, english, bootstrap, css, node.js, android api, android studio, php, java",680828
42,2967,Mobile Developer (React Native),"gradle, javascript, jenkins, jest, react native, typescript, xcode",Mobile Developer (React Native),7,2,103.09523809523809,"javascript, node.js, entrepreneurship, express.js, startups, react native",671514
52,2967,Mobile Developer (React Native),"gradle, javascript, jenkins, jest, react native, typescript, xcode",Senior Mobile App Developer,7,5,96.86351975025215,"android, azure, sql, sql server, scrum, javascript, laravel, mvc, html5, bootstrap, json, postgresql, hibernate, swift, ios, agile development methodology, node.js, design patterns, oop, cordova, visual studio, github, bitbucket, svn, web services, agile, docker, web api, jenkins, oracle db, soa, agile methodologies, sharepoint, rest api, xamarin, my sql, database design, software architecture, continuous integration, ASP.Net MVC, typescript, nosql, rabbit mq, mvvm, xcode, entity framework, mobile applications, android api, algorithms, nosql databases, c#, visual studio code, xamarin forms, ios native framework, ASP.Net Core, continuous delivery, web applications, mobile application development, android studio, angular, php, java, jquery, git, .net, react native",664882
53,2967,Mobile Developer (React Native),"gradle, javascript, jenkins, jest, react native, typescript, xcode",React Native Developer,7,4,96.77049947806182,"sql server, scrum, javascript, delphi, front end, mobile development, animation, mobile design, startups, xcode, mobile applications, gradle, redux, c#, es6, flexbox, full stack, Independent Worker, mobile application development, git, react native",677492
83,2967,Mobile Developer (React Native),"gradle, javascript, jenkins, jest, react native, typescript, xcode",React Native Developer,7,1,87.60383281139514,"android, ios, node.js, mongodb, react.js, aws, react native",676033
75,2967,Mobile Developer (React Native),"gradle, javascript, jenkins, jest, react native, typescript, xcode",Front End/React Native Developer,7,3,89.8804285804643,"scrum, javascript, html5, bootstrap, css3, materialize, less, sass, ionic framework, react.js, gulp, typescript, jade, jasminejs, firebase, webpack, protractor, redux, progressive web apps, ecmascript, eslint, babeljs, angular, jquery, react native",651799
82,2967,Mobile Developer (React Native),"gradle, javascript, jenkins, jest, react native, typescript, xcode",Backend developer | It generalist,7,2,87.77112134963414,"javascript, node.js, mongodb, react.js, vb6, rest api, express.js, lotus domino, mongoose, java, react native",665178
34,3020,Senior Front End Engineer,"angular, css, html, javascript, react.js",Senior Software Engineer,5,5,107.02734795030167,"javascript, html, json, css, node.js, mongodb, agile, react.js, npm, agile methodologies, spring boot, rest api, webpack, nlp, redux, angular, java, rasa, dialogflow",676985
31,3020,Senior Front End Engineer,"angular, css, html, javascript, react.js",Senior Front End Engineer,5,2,107.57142857142858,"sql, ruby on rails, python, html5, css3, node.js, mongodb, react.js, rest api, quality assurance, webpack, redux, es6, angular",672744
39,3020,Senior Front End Engineer,"angular, css, html, javascript, react.js",Senior Software Engineer,5,4,104.71936645810968,"tdd, azure, sql, sql server, scrum, javascript, mvc, wcf, html, bootstrap, css, agile development methodology, node.js, google analytics, twitter bootstrap, visual studio, gulp/grunt, github, bitbucket, svn, web services, software development, agile, web api, jira, web design responsive, web forms, gulp, kanban, single-­page applications, web standards, databases, agile methodologies, trello, rest api, scss, vue.js, software developer, mysql, front end, tfs, selenium, typescript, gitlab, knockoutjs, accessibility, api, integration services, microsoft dynamics, webpack, telerik, lambda expressions, ionic2, activemq, entity framework, sql server management studio, oauth2, redux, c#, visual studio code, es6, mvc 4 & 5, ASP.Net Core, material design, object oriented design, git repository, es7, sso, scaffolding, sql query, agile and kanban process, auth0, ajax, mvc - advanced, asp.net ajax control toolkit, oops, angular, automated testing, jquery, git, aws, .net, stripe, javascr, flex api, mysql, ms sql, axe tool, wave tool, ngrx store, asana",663181
38,3020,Senior Front End Engineer,"angular, css, html, javascript, react.js",Senior Software Engineer,5,4,104.770577383107,"sql, scrum, javascript, python, wordpress, laravel, mvc, html, bootstrap, postgresql, css, node.js, data modeling and systems analysis, design patterns, excel, xml, oop, visual studio, bitbucket, web services, ionic framework, docker, web api, jira, bash script, jenkins, devops, dns, mac os, react.js, npm, databases, ember.js, trello, rest api, webdesign, data integration - enterprise, nginx, django, design thinking, mysql, database design, microservices, software architecture, front end, workflow, selenium, leadership, open source, express.js, es2015, redis, firebase, sqlite, amazon web services, communication, heroku, flask, nosql, coding and modularization, clean code, mvvm, continuos deployment, coaching, public speaking, teaching, digital ocean, performance optimization, team player, couchbase, ipython, ssh, bdd - behavior-driven development, test-driven development (tdd), es6, embedded systems, software security, travis ci, object oriented design, postman, integration test, websockets, unit testing, yarn, babeljs, software designer, web server, decision making, sdlc practices, ajax, linux, trainer, git flow, backend development, relational database, http, training & mentoring, ci/cd automation, eclipse, php, jquery, git, aws",658341
37,3020,Senior Front End Engineer,"angular, css, html, javascript, react.js",Senior Frontend Engineer,5,2,105.18163074019442,"sql, javascript, html5, bootstrap, css3, less / sass, gulp/grunt, angular, java, jquery",660074
36,3020,Senior Front End Engineer,"angular, css, html, javascript, react.js",Frontend Engineer,5,5,105.78997533519197,"scrum, javascript, spring, html, bootstrap, css, node.js, mongodb, less, lamp, bitbucket, sass, agile, ionic framework, docker, jira, ui, react.js, npm, rest api, scss, mysql, problem solving, microservices, front end, typescript, express.js, es2015, communication, polymer, api, nosql, teamwork, ionic2, public speaking, mean, lodash, es6, travis ci, material design, object oriented design, websockets, progressive web apps, es7, yarn, fast learning, full stack, angular, php, java, jquery, git, aws, react native",672499
35,3020,Senior Front End Engineer,"angular, css, html, javascript, react.js",Senior Frontend Engineer,5,2,106.66881022737391,"android, javascript, python, laravel, postgresql, codeigniter, node.js, mongodb, agile, docker, react.js, rest api, scss, vue.js, mysql, go lang, workflow, express.js, firebase, educational instructor, nosql, pascal, webpack, coaching, android api, algorithms, nosql databases, dynamo db, postman, data structures, git flow, graphql, ci/cd automation, php, java, jquery, git, aws, react native",678679
10,3020,Senior Front End Engineer,"angular, css, html, javascript, react.js",Senior Frontend Engineer,5,5,116.51496407352775,"javascript, python, html, css, node.js, react.js, scss, django, redux, es6, electron.js, angular",676032
19,3020,Senior Front End Engineer,"angular, css, html, javascript, react.js",Senior Frontend Engineer,5,3,110.31799437655805,"scrum, javascript, python, english, html5, node.js, mongodb, sass, jira, ui, react.js, single-­page applications, my sql, front end, selenium, ionic2, lean startup, canvas, web applications, graphql, angular, react native",672159
13,3020,Senior Front End Engineer,"angular, css, html, javascript, react.js",Senior Frontend Engineer,5,4,115.07051962908332,"android, azure, javascript, python, laravel, html5, postgresql, ios, css3, node.js, mongodb, design patterns, agile, docker, react.js, rest api, microservices, typescript, express.js, redis, mobile development, management, strategic planning, algorithms, mongoose, mentoring, data structures, lead developer, graphql, angular, php, java, git, aws, react native, html",681519
67,3009,Senior Mobile App Developer,"dart, ionic framework, javascript, kotlin, nativescript, swift",Mobile Application Developer,6,3,94.22747982372506,"android, sql, javascript, python, swift, ios, mongodb, ux, ui, front end, kotlin, backend development, java",678763
70,3009,Senior Mobile App Developer,"dart, ionic framework, javascript, kotlin, nativescript, swift",Senior Mobile application developer,6,2,94.04790590883118,"android, swift, ios, node.js, objective-c, kotlin, java, aws",667818
71,3009,Senior Mobile App Developer,"dart, ionic framework, javascript, kotlin, nativescript, swift",Mobile Apps Developer,6,2,94.01539647479487,"android, json, android api, kotlin, dart, android studio, git",662588
43,3009,Senior Mobile App Developer,"dart, ionic framework, javascript, kotlin, nativescript, swift",Senior Mobile Apps Developer,6,1,101.65205506938642,"scrum, json, swift, ios, objective-c, jira, xamarin, gis, sqlite, realm, mvvm, cocoapods, zeplin, uikit, c#, xamarin forms, coredata, foundation, avfoundation, mobile application development, git",646330
46,3009,Senior Mobile App Developer,"dart, ionic framework, javascript, kotlin, nativescript, swift",Senior Mobile Developer,6,2,99.23290529584742,"android, azure, swift, actionscript 3, ionic framework, Big Data, rest api, xamarin, cloud computing, c#, xamarin forms, angular, php, java, .net",641989
33,3009,Senior Mobile App Developer,"dart, ionic framework, javascript, kotlin, nativescript, swift",Senior Mobile App Developer,6,2,107.19696969696969,"android, azure, sql, sql server, scrum, javascript, laravel, mvc, html5, bootstrap, json, postgresql, hibernate, swift, ios, agile development methodology, node.js, design patterns, oop, cordova, visual studio, github, bitbucket, svn, web services, agile, docker, web api, jenkins, oracle db, soa, agile methodologies, sharepoint, rest api, xamarin, my sql, database design, software architecture, continuous integration, ASP.Net MVC, typescript, nosql, rabbit mq, mvvm, xcode, entity framework, mobile applications, android api, algorithms, nosql databases, c#, visual studio code, xamarin forms, ios native framework, ASP.Net Core, continuous delivery, web applications, mobile application development, android studio, angular, php, java, jquery, git, .net, react native",664882
68,3009,Senior Mobile App Developer,"dart, ionic framework, javascript, kotlin, nativescript, swift",Mobile Application Developer,6,3,94.22747982372506,"android, javascript, html5, swift, ios, cordova, ionic framework, typescript, angular, php, java, jquery, aws",661610
57,3009,Senior Mobile App Developer,"dart, ionic framework, javascript, kotlin, nativescript, swift",Senior Mobile Developer,6,1,95.81623862918076,"android, sql, swift, ios, objective-c, realm, rxandroid, java platform, php, react native",677865
63,3009,Senior Mobile App Developer,"dart, ionic framework, javascript, kotlin, nativescript, swift",Senior Mobile Developer,6,1,94.81623862918076,"swift, ios, node.js, objective-c, react native",638168
69,3009,Senior Mobile App Developer,"dart, ionic framework, javascript, kotlin, nativescript, swift",iOS Mobile Developer,6,2,94.05057601505743,"javascript, english, html5, json, swift, ios, node.js, ux, rest api, design thinking, front end, firebase, mobile development, heroku, cocoa, cocoapods, xcode, alamofire, agile and kanban process, git flow, git, react native",642616
0,3022,Software Developer,"angular, javascript, react.js",Software Developer,3,3,121.84782608695653,"tdd, sql server, scrum, javascript, python, laravel, english, html5, bootstrap, postgresql, windows server, node.js, excel, ionic framework, docker, react.js, analytics, kanban, Big Data, oracle application-plsql, composer and npm, team leadership, django, my sql, technical documentations, technical skills, support developers, machine learning, business analysis, ubuntu server, support analyst, scikit-learn, sqlalchemy, tableau desktop, django rest, wordpress,  php,joomla,magneto,bootstrap, customer relationship, linux, angular, php, jquery, sap",656890
9,3022,Software Developer,"angular, javascript, react.js",Software Developer,3,3,121.25,"sql, sql server, javascript, postgresql, node.js, mongodb, github, bitbucket, agile, docker, jira, react.js, mysql, typescript, nosql, ionic2, mobile applications, c#, ci/cd automation, angular, git, aws, .net, .net core",636188
1,3022,Software Developer,"angular, javascript, react.js",Software Developer,3,3,121.78571428571429,"android, sql, sql server, javascript, python, mvc, wcf, html, bootstrap, json, postgresql, node.js, materialize, mongodb, visual studio, github, web api, bash script, web forms, react.js, spring boot, mysql, ASP.Net MVC, typescript, sqlite, nosql, nessus, webpack, entity framework, kotlin, mongoose, c#, visual studio code, es6, ASP.Net Core, linq, android studio, angular, jquery, git, .net, .net core",674569
2,3022,Software Developer,"angular, javascript, react.js",Software Developer,3,3,121.66666666666666,"elixir, tdd, javascript, python, laravel, c++, html, postgresql, css, node.js, mongodb, docker, react.js, r programming, vue.js, django, mysql, phoenix framework, centos, jade, sqlite, cloud computing, flask, machine learning, ubuntu server, webpack, grunt; gulp, redux, jenkins - basic, ffmpeg, tensorflow, eclipse, angular, php, java, react native",680092
3,3022,Software Developer,"angular, javascript, react.js",Software Developer,3,3,121.61764705882354,"android, sql, sql server, scrum, javascript, uml, postgresql, jsf, jsp, hibernate, ireport, web development, node.js, crystal reports, spring mvc, web services, servlets, maven, software development, react.js, bower, oracle db, programming, agile methodologies, spring boot, spring data, government, kotlin, web applications, angular, php, java, jquery, git",676391
4,3022,Software Developer,"angular, javascript, react.js",Software Developer,3,3,121.5,"sql server, scrum, javascript, spring, weblogic, html5, bootstrap, jsf, hibernate, css3, node.js, mongodb, cordova, svn, maven, docker, jenkins, react.js, rest api, sonar, heroku, jasper reports, wicket, bamboo, eclipse, angular, php, java, jquery, git",676060
5,3022,Software Developer,"angular, javascript, react.js",Software Developer,3,3,121.5,"tdd, sql server, windows forms, javascript, python, hibernate, wpf, node.js, mongodb, visual studio, react.js, rest api, django, tfs, ASP.Net MVC, knockoutjs, machine learning, entity framework, algorithms, c#, tsql, linq, data structures, nunit, angular, java, jquery, git, aws, .net",644431
6,3022,Software Developer,"angular, javascript, react.js",Software Developer,3,3,121.34615384615385,"javascript, python, html, bootstrap, postgresql, css, node.js, mongodb, react.js, typescript, express.js, meteor, elasticsearch, webpack, mochajs, mongoose, redux, chai, pyramid, sqlalchemy, unit testing, sequelize, graphql, angular, jest, enzyme",681988
7,3022,Software Developer,"angular, javascript, react.js",Software developer,3,3,121.34615384615385,"android, javascript, html5, postgresql, hibernate, netbeans, css3, node.js, mongodb, windows, github, junit, react.js, tomcat server, spring boot, my sql, mochajs, redux, ajax, linux, eclipse, angular, php, java, jquery, git",643475
8,3022,Software Developer,"angular, javascript, react.js",Software developer,3,3,121.25,"sql, sql server, scrum, javascript, wcf, xml, web services, software development, web api, react.js, tfs, business analysis, entity framework, redux, c#, ASP.Net Core, tsql, linq, ssis, requirements analysis, angular, jquery, git, .net",671935
